"Shipping","Giao hàng"
"Review & Payments","Thanh toán"
"Payment","Thanh toán"
"Order Summary","Tổng đơn hàng"
"Cart Subtotal","Tạm tính"
"Shipping","Phí vận chuyển"
"Order Total","Tổng cộng"
"Proceed to Checkout","Tiến hành thanh toán"
"Place Order","Đặt hàng"
"Next","Tiếp theo"
"Ship To","Giao đến"
"Ship Via","Phương thức vận chuyển"
"Shipping Methods","Phương thức vận chuyển"
"Shipping Address","Địa chỉ giao hàng"
"Billing Address","Địa chỉ thanh toán"
"Payment Method","Phương thức thanh toán"
"Apply Discount Code","Áp dụng mã giảm giá"
"Enter discount code","Nhập mã giảm giá"
"Apply Discount","Áp dụng"
"Cancel","Hủy"
"Edit","Sửa"
"Update","Cập nhật"
"Delete","Xóa"
"Remove","Xóa"
"Add New Address","Thêm địa chỉ mới"
"New Address","Địa chỉ mới"
"First Name","Họ"
"Last Name","Tên"
"Company","Công ty"
"Street Address","Địa chỉ"
"City","Thành phố"
"State/Province","Tỉnh/Thành"
"Zip/Postal Code","Mã bưu chính"
"Country","Quốc gia"
"Phone Number","Số điện thoại"
"Email","Email"
"Email Address","Địa chỉ email"
"Save in address book","Lưu vào sổ địa chỉ"
"Save Address","Lưu địa chỉ"
"Ship Here","Giao đến đây"
"Free Shipping","Miễn phí vận chuyển"
"Flat Rate","Giao hàng theo khu vực"
"Fixed","Vận chuyển nội địa"
"Same as shipping address","Giống địa chỉ giao hàng"
"My billing and shipping address are the same","Địa chỉ thanh toán và giao hàng giống nhau"
"Item","Sản phẩm"
"Items","Sản phẩm"
"Qty","Số lượng"
"Price","Giá"
"Subtotal","Tạm tính"
"Grand Total","Tổng tiền"
"Tax","Thuế"
"Discount","Giảm giá"
"items in cart","sản phẩm trong giỏ"
"item in cart","sản phẩm trong giỏ"
"View Details","Xem chi tiết"
"Hide Details","Ẩn chi tiết"
"Estimated Shipping","Ước tính phí vận chuyển"
"Estimated Tax","Ước tính thuế"
"Loading...","Đang tải..."
"Loading next step...","Đang tải bước tiếp theo..."
"Please wait...","Vui lòng chờ..."
"Required field","Bắt buộc"
"This is a required field.","Đây là trường bắt buộc."
"Please enter a valid email address.","Vui lòng nhập địa chỉ email hợp lệ."
"Please enter a valid phone number.","Vui lòng nhập số điện thoại hợp lệ."
"Please select a shipping method.","Vui lòng chọn phương thức vận chuyển."
"Please select a payment method.","Vui lòng chọn phương thức thanh toán."
"Your order has been placed.","Đơn hàng của bạn đã được đặt."
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"Continue Shopping","Tiếp tục mua sắm"
"View Order","Xem đơn hàng"
"Print Receipt","In hóa đơn"
"Order #","Đơn hàng #"
"Order Number","Mã đơn hàng"
"Order Date","Ngày đặt hàng"
"Shipping Method","Phương thức vận chuyển"
"Payment Information","Thông tin thanh toán"
"Cash On Delivery","Thanh toán khi nhận hàng"
"Check / Money order","Chuyển khoản / Tiền mặt"
"Credit Card","Thẻ tín dụng"
"Sign In","Đăng nhập"
"Create an Account","Tạo tài khoản"
"Already have an account?","Đã có tài khoản?"
"Checkout as Guest","Thanh toán như khách"
"or","hoặc"
"Secure Checkout","Thanh toán bảo mật"
"Total","Tổng tiền"
"Grand Total","Tổng tiền"
"Continue","Tiếp tục"
"Continue to Payment","Tiếp tục"
"Continue to Shipping","Tiếp tục"
"Select Method","Chọn hình thức"
"Method Title","Hình thức giao hàng"
"Carrier Title","Đơn vị vận chuyển"
"Price","Giá"
"Chọn hình thức","Chọn hình thức"
"Hình thức giao hàng","Hình thức giao hàng"
"Đơn vị vận chuyển","Đơn vị vận chuyển"
"The coupon code isn't valid. Verify the code and try again.","Mã giảm giá không hợp lệ. Vui lòng kiểm tra và thử lại."
"Mã giảm giá không tồn tại","Mã giảm giá không hợp lệ. Vui lòng kiểm tra và thử lại."
"The maximum you may purchase is %1.","Kho chỉ còn %1 sản phẩm."
"The fewest you may purchase is %1.","Số lượng tối thiểu là %1."
"Please enter a quantity greater than 0.","Vui lòng nhập số lượng lớn hơn 0."
"You can buy this product only in quantities of %1 at a time.","Bạn chỉ có thể mua sản phẩm này theo lô %1 sản phẩm."
"You used coupon code \"%1\".","Áp dụng thành công mã giảm giá"
"Please enter more or equal than %1 symbols.","Vui lòng nhập từ %1 ký tự trở lên."
"Please enter more or equal than 9 symbols.","Vui lòng nhập từ 9 ký tự trở lên."
"Did you mean","Có phải ý bạn là:"
